id,title,technical_type,size_bytes,storage,web_ready,readiness_level,units,crs,calibration_status,quicklook_href
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-08-10_18_29.tif,SE2_SR_2022-01-08 10_18_29.tif,raster,3845773,local_untracked,False,1,not provided,EPSG:4326,incomplete,visualization-data/thumbnails/imported/se2_sr_2022-01-08-10_18_29-753fb2b6-quicklook.png
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-08-10_18_29.tif,SE2_SR_2022-01-08 10_18_29.tif,raster,3773097,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-01-10-10_56_24.tif,SE2_SR_2022-01-10 10_56_24.tif,raster,3053616,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-11-10_28_25.tif,SE2_SR_2022-01-11 10_28_25.tif,raster,3835637,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-11-10_28_25.tif,SE2_SR_2022-01-11 10_28_25.tif,raster,3783401,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-11-11_20_12.tif,SE2_SR_2022-01-11 11_20_12.tif,raster,4136178,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-lelystad-se2_sr_2022-01-12-10_46_21.tif,SE2_SR_2022-01-12 10_46_21.tif,raster,3020786,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-13-10_18_24.tif,SE2_SR_2022-01-13 10_18_24.tif,raster,3863771,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-13-10_18_24.tif,SE2_SR_2022-01-13 10_18_24.tif,raster,3835974,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-13-11_10_22.tif,SE2_SR_2022-01-13 11_10_22.tif,raster,4163048,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site1-se2_sr_2022-01-16-10_28_20.tif,SE2_SR_2022-01-16 10_28_20.tif,raster,3731527,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-seriestiffs_alfalfa_site2-se2_sr_2022-01-16-10_28_20.tif,SE2_SR_2022-01-16 10_28_20.tif,raster,3732672,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
hydra-eo-data-sentinel-2-series-chaparrillo-se2_sr_2022-01-16-11_20_17.tif,SE2_SR_2022-01-16 11_20_17.tif,raster,4168999,local_untracked,False,1,not provided,EPSG:4326,incomplete,not provided
